pit_policy,formation_date,required_formation,affects_final,check,side,eligible_count,max_weight,status,reason_code,detail
legal_deadline,2013-05-31,False,False,size_exclusion,ELIGIBLE,2252.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-05-31,False,False,size_exclusion,DATA_MISSING_CLOSE,5.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-05-31,False,False,size_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-05-31,False,False,model_exclusion,ELIGIBLE,1438.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-05-31,False,False,model_exclusion,DATA_MISSING_CLOSE,5.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-05-31,False,False,model_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-05-31,False,False,model_exclusion,MISSING_STYLE_SCORE,814.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2013-05-31,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,85.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2013-05-31,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,"data-blocked exclusion reasons: DATA_MISSING_CLOSE, DATA_MISSING_SHARES (213/2465 = 8.6410% exceeds the 0.2500% materiality threshold)"
legal_deadline,2013-06-28,False,False,size_exclusion,ELIGIBLE,2252.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-06-28,False,False,size_exclusion,DATA_MISSING_CLOSE,5.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-06-28,False,False,size_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-06-28,False,False,model_exclusion,ELIGIBLE,1438.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-06-28,False,False,model_exclusion,DATA_MISSING_CLOSE,5.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-06-28,False,False,model_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-06-28,False,False,model_exclusion,MISSING_STYLE_SCORE,814.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2013-06-28,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,94.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2013-06-28,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,"data-blocked exclusion reasons: DATA_MISSING_CLOSE, DATA_MISSING_SHARES (213/2465 = 8.6410% exceeds the 0.2500% materiality threshold)"
legal_deadline,2013-07-31,False,False,size_exclusion,ELIGIBLE,2254.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-07-31,False,False,size_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-07-31,False,False,size_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-07-31,False,False,model_exclusion,ELIGIBLE,1440.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-07-31,False,False,model_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-07-31,False,False,model_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-07-31,False,False,model_exclusion,MISSING_STYLE_SCORE,814.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2013-07-31,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,104.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2013-07-31,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,"data-blocked exclusion reasons: DATA_MISSING_CLOSE, DATA_MISSING_SHARES (211/2465 = 8.5598% exceeds the 0.2500% materiality threshold)"
legal_deadline,2013-08-30,False,False,size_exclusion,ELIGIBLE,2254.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-08-30,False,False,size_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-08-30,False,False,size_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-08-30,False,False,model_exclusion,ELIGIBLE,1441.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-08-30,False,False,model_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-08-30,False,False,model_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-08-30,False,False,model_exclusion,MISSING_STYLE_SCORE,813.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2013-08-30,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,103.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2013-08-30,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,"data-blocked exclusion reasons: DATA_MISSING_CLOSE, DATA_MISSING_SHARES (211/2465 = 8.5598% exceeds the 0.2500% materiality threshold)"
legal_deadline,2013-09-30,False,False,size_exclusion,ELIGIBLE,2254.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-09-30,False,False,size_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-09-30,False,False,size_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-09-30,False,False,size_exclusion,LISTED_LT_180D,1.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2013-09-30,False,False,model_exclusion,ELIGIBLE,1462.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-09-30,False,False,model_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-09-30,False,False,model_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-09-30,False,False,model_exclusion,LISTED_LT_180D,1.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2013-09-30,False,False,model_exclusion,MISSING_STYLE_SCORE,792.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2013-09-30,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,100.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2013-09-30,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,"data-blocked exclusion reasons: DATA_MISSING_CLOSE, DATA_MISSING_SHARES (211/2465 = 8.5598% exceeds the 0.2500% materiality threshold)"
legal_deadline,2013-10-31,False,False,size_exclusion,ELIGIBLE,2254.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-10-31,False,False,size_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-10-31,False,False,size_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-10-31,False,False,size_exclusion,LISTED_LT_180D,1.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2013-10-31,False,False,model_exclusion,ELIGIBLE,1628.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-10-31,False,False,model_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-10-31,False,False,model_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-10-31,False,False,model_exclusion,LISTED_LT_180D,1.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2013-10-31,False,False,model_exclusion,MISSING_STYLE_SCORE,626.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2013-10-31,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,113.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2013-10-31,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,"data-blocked exclusion reasons: DATA_MISSING_CLOSE, DATA_MISSING_SHARES (211/2465 = 8.5598% exceeds the 0.2500% materiality threshold)"
legal_deadline,2013-11-29,False,False,size_exclusion,ELIGIBLE,2254.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-11-29,False,False,size_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-11-29,False,False,size_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-11-29,False,False,size_exclusion,LISTED_LT_180D,1.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2013-11-29,False,False,model_exclusion,ELIGIBLE,1628.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-11-29,False,False,model_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-11-29,False,False,model_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-11-29,False,False,model_exclusion,LISTED_LT_180D,1.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2013-11-29,False,False,model_exclusion,MISSING_STYLE_SCORE,626.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2013-11-29,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,126.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2013-11-29,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,"data-blocked exclusion reasons: DATA_MISSING_CLOSE, DATA_MISSING_SHARES (211/2465 = 8.5598% exceeds the 0.2500% materiality threshold)"
legal_deadline,2013-12-31,False,False,size_exclusion,ELIGIBLE,2254.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-12-31,False,False,size_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-12-31,False,False,size_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-12-31,False,False,size_exclusion,LISTED_LT_180D,2.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2013-12-31,False,False,model_exclusion,ELIGIBLE,1628.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2013-12-31,False,False,model_exclusion,DATA_MISSING_CLOSE,3.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2013-12-31,False,False,model_exclusion,DATA_MISSING_SHARES,208.0,,REPORT_ONLY,DATA_MISSING_SHARES,exclusion distribution
legal_deadline,2013-12-31,False,False,model_exclusion,LISTED_LT_180D,2.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2013-12-31,False,False,model_exclusion,MISSING_STYLE_SCORE,626.0,,REPORT_ONLY,MISSING_STYLE_SCORE,exclusion distribution
legal_deadline,2013-12-31,False,False,close_carry_forward,EXACT_SUSPENSION_CARRY_FORWARD,115.0,,REPORT_ONLY,,suspended names valued at last traded close
legal_deadline,2013-12-31,False,False,monthly_exposure,,,,DATA_BLOCKED,DATA_CONTRACT,"data-blocked exclusion reasons: DATA_MISSING_CLOSE, DATA_MISSING_SHARES (211/2465 = 8.5598% exceeds the 0.2500% materiality threshold)"
legal_deadline,2014-01-30,False,False,size_exclusion,ELIGIBLE,2463.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-01-30,False,False,size_exclusion,DATA_MISSING_CLOSE,2.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
legal_deadline,2014-01-30,False,False,size_exclusion,LISTED_LT_180D,45.0,,REPORT_ONLY,LISTED_LT_180D,exclusion distribution
legal_deadline,2014-01-30,False,False,model_exclusion,ELIGIBLE,1785.0,,REPORT_ONLY,,exclusion distribution
legal_deadline,2014-01-30,False,False,model_exclusion,DATA_MISSING_CLOSE,2.0,,REPORT_ONLY,DATA_MISSING_CLOSE,exclusion distribution
