pit_policy,row_type,formation_date,window,alpha,beta_s,beta_m,beta_h,n,ordinary_t_beta_h,nw_lag3_t_beta_h,affects_verdict
legal_deadline,monthly,2023-06-30,2021-2023,0.022188972262801726,-0.014279544094209638,0.006674116087691554,0.003759292105556988,3551,,,True
legal_deadline,monthly,2023-07-31,2021-2023,-0.046576147170028094,-0.0025682709465083813,0.015052893419211243,0.0035302636718158626,3533,,,True
legal_deadline,monthly,2023-08-31,2021-2023,0.005501640188215925,-0.0069096290875358055,0.011206967248486814,0.0028570970291264476,3572,,,True
legal_deadline,monthly,2023-09-28,2021-2023,-0.00595728378426112,0.001437188359870046,0.01673537599181118,-0.0014962380521763984,3572,,,True
legal_deadline,monthly,2023-10-31,2021-2023,0.0361832142713335,0.0005022743111251782,0.024043528238317,0.0017753680115810493,3706,,,True
legal_deadline,monthly,2023-11-30,2021-2023,-0.020909233648314166,0.0009464315434432507,0.005715791662252704,0.002493848805383367,3706,,,True
legal_deadline,summary,,2015-2017,0.013887401810330156,-0.004258644644733865,0.007654678486310396,0.0013143621815320794,36,2.048441135481764,1.7166849919064493,True
legal_deadline,summary,,2018-2020,0.000401209746821352,-0.0012693115365597972,-0.0007535564952032454,7.805377511350338e-05,36,0.11388867919879389,0.107102094178803,True
legal_deadline,summary,,2021-2023,0.01065831033726765,-0.0036344212520287252,0.009187029865197522,0.0013145204216358773,35,1.5478972039175145,1.5665873936607104,True
legal_deadline,summary,,2024-2026-report-only,,,,,0,,,False
legal_deadline_plus_one_month_end,monthly,2015-01-30,2015-2017,0.07076049752558469,0.009966887212962173,0.006619149264827581,-0.0023927513280821446,2130,,,True
legal_deadline_plus_one_month_end,monthly,2015-02-27,2015-2017,0.21320564261229885,0.005816274532783464,0.01347592043290708,0.0008307269331496617,2130,,,True
legal_deadline_plus_one_month_end,monthly,2015-03-31,2015-2017,0.17524709161852647,-0.009997826427360766,0.008977603480522827,-0.001084436870805271,2130,,,True
legal_deadline_plus_one_month_end,monthly,2015-04-30,2015-2017,0.2364940918605209,0.01738853910838567,0.06981707752230651,-0.008873449772155057,2211,,,True
legal_deadline_plus_one_month_end,monthly,2015-05-29,2015-2017,-0.07391934549588838,-0.02741395693848505,0.017498098141462824,0.0011022150828623178,2208,,,True
legal_deadline_plus_one_month_end,monthly,2015-06-30,2015-2017,-0.16906105568568483,-0.01050716222757134,-0.008220341283472559,-0.00682392629277274,2208,,,True
legal_deadline_plus_one_month_end,monthly,2015-07-31,2015-2017,-0.11435178038107573,-0.009820178526856474,0.018605430978451264,0.0014998051726524283,2208,,,True
legal_deadline_plus_one_month_end,monthly,2015-08-31,2015-2017,-0.03964831148278073,0.00386312627750815,0.0192029101523227,0.0026867227635420255,2260,,,True
legal_deadline_plus_one_month_end,monthly,2015-09-30,2015-2017,0.19939454037147294,-0.002215518801503724,0.04670855112687332,0.005628703824793665,2260,,,True
legal_deadline_plus_one_month_end,monthly,2015-10-30,2015-2017,0.09509828295444508,0.0048104423396826135,0.05217548296840705,0.005105273328306196,2352,,,True
legal_deadline_plus_one_month_end,monthly,2015-11-30,2015-2017,0.07852064786466786,-0.0037915878778721976,0.042101314502696656,0.01016107672256848,2358,,,True
legal_deadline_plus_one_month_end,monthly,2015-12-31,2015-2017,-0.2780787900728113,-0.011615939474302606,-0.003593889135416922,-0.00028253352018839986,2357,,,True
legal_deadline_plus_one_month_end,monthly,2016-01-29,2015-2017,-0.015146185065074159,-0.0035279600504836525,0.0065271106402417485,0.0023602955210988,2357,,,True
legal_deadline_plus_one_month_end,monthly,2016-02-29,2015-2017,0.18030652828705487,0.00346631759306101,0.030455985164267375,-0.00010500757739685401,2357,,,True
legal_deadline_plus_one_month_end,monthly,2016-03-31,2015-2017,-0.0027539682797575113,-0.002055230977335447,0.022115154350569863,0.003422980867957666,2357,,,True
legal_deadline_plus_one_month_end,monthly,2016-04-29,2015-2017,-0.018736870923774622,-0.002031973022903446,-0.008631864754824917,0.0013563139763017062,2413,,,True
legal_deadline_plus_one_month_end,monthly,2016-05-31,2015-2017,0.049067440868451065,0.004693425533984287,0.015119588714057615,-0.002917511403976396,2417,,,True
legal_deadline_plus_one_month_end,monthly,2016-06-30,2015-2017,0.0006951558373293139,-0.017508628204343065,-0.005689707097500465,0.005666646665151619,2417,,,True
legal_deadline_plus_one_month_end,monthly,2016-07-29,2015-2017,0.048146599423824696,-0.0010740209252304601,0.011849627622592986,0.0024465597147963433,2417,,,True
legal_deadline_plus_one_month_end,monthly,2016-08-31,2015-2017,-0.0026056915772334653,-0.0048008054660536835,0.016566014440039523,0.0004995449977882272,2454,,,True
legal_deadline_plus_one_month_end,monthly,2016-09-30,2015-2017,0.03383093181213796,-0.004270329035922485,0.009586326054445909,0.0018242277651343746,2454,,,True
legal_deadline_plus_one_month_end,monthly,2016-10-31,2015-2017,0.02763567648252858,-0.01330934988481771,0.003077581692013784,0.006728247575981676,2456,,,True
legal_deadline_plus_one_month_end,monthly,2016-11-30,2015-2017,-0.03695673900968921,-0.006599681120942115,0.01297378616179496,-0.00019246344595041053,2456,,,True
legal_deadline_plus_one_month_end,monthly,2016-12-30,2015-2017,-0.01824950583502621,-0.014741045143518306,-0.009767055723102068,0.004697427041370952,2456,,,True
legal_deadline_plus_one_month_end,monthly,2017-01-26,2015-2017,0.03683018826745078,-0.004241432643431214,0.003512762914640691,-0.003107536957428494,2455,,,True
legal_deadline_plus_one_month_end,monthly,2017-02-28,2015-2017,-0.021153401955927176,0.00080453045606463,-0.012985054540825552,9.756603883210427e-05,2454,,,True
legal_deadline_plus_one_month_end,monthly,2017-03-31,2015-2017,-0.05278915660133648,-0.004952116359071966,-0.02173945638437441,0.0012283588836166513,2454,,,True
legal_deadline_plus_one_month_end,monthly,2017-04-28,2015-2017,-0.06735366566135463,-0.004699017863390937,-0.013485746455291676,0.001594552369833476,2454,,,True
legal_deadline_plus_one_month_end,monthly,2017-05-31,2015-2017,0.039475684086737996,-0.0060506941961047415,-0.0062967499183911035,6.274333655776452e-05,2454,,,True
legal_deadline_plus_one_month_end,monthly,2017-06-30,2015-2017,0.00929295337907736,-0.01925049177916507,-0.007035770143115044,-0.0028232199494195127,2454,,,True
legal_deadline_plus_one_month_end,monthly,2017-07-31,2015-2017,0.029115719948428636,0.0047846829188407354,0.005778731414286416,-0.0015940064902741121,2453,,,True
legal_deadline_plus_one_month_end,monthly,2017-08-31,2015-2017,0.012905913036927895,0.0035346866324224195,4.2404072215891046e-05,0.0014297883766988331,2454,,,True
legal_deadline_plus_one_month_end,monthly,2017-09-29,2015-2017,-0.022062322646918476,-0.0007769799336546923,-0.015553977428721298,0.0019516990168084829,2454,,,True
legal_deadline_plus_one_month_end,monthly,2017-10-31,2015-2017,-0.05998929382910039,-0.006842563838762278,-0.016263955784820146,0.005193990866531382,2502,,,True
legal_deadline_plus_one_month_end,monthly,2017-11-30,2015-2017,-0.016208897533965854,-0.0030730984980633673,-0.009858295780543097,0.0008986865172858174,2502,,,True
legal_deadline_plus_one_month_end,monthly,2017-12-29,2015-2017,-0.027012139028181194,-0.017272530598967467,-0.018096321874371116,0.009039728783983608,2501,,,True
legal_deadline_plus_one_month_end,monthly,2018-01-31,2018-2020,-0.045322326780880766,0.005646376940833538,-0.012161401979464477,-0.0043265237617939965,2501,,,True
legal_deadline_plus_one_month_end,monthly,2018-02-28,2018-2020,0.03431441800823789,0.008117712006300883,0.022427278535131757,-0.0020563976502828017,2501,,,True
legal_deadline_plus_one_month_end,monthly,2018-03-30,2018-2020,-0.04381096071534539,-0.0034115881343932558,-0.0036707364722585577,0.0001474157105758457,2501,,,True
legal_deadline_plus_one_month_end,monthly,2018-04-27,2018-2020,-0.02307838487690741,-0.009755650080934725,-0.009054325192927771,0.0033509944222782292,2508,,,True
legal_deadline_plus_one_month_end,monthly,2018-05-31,2018-2020,-0.10954946381748189,-0.005844418773703678,-0.012486668756929001,-0.005043530966695551,2509,,,True
legal_deadline_plus_one_month_end,monthly,2018-06-29,2018-2020,0.009200624786925,-0.011887945862059776,0.011151318315870445,0.005012309755009934,2509,,,True
legal_deadline_plus_one_month_end,monthly,2018-07-31,2018-2020,-0.07442978010675885,-0.009961876245940056,0.0008986856847312905,0.002104712120103136,2509,,,True
legal_deadline_plus_one_month_end,monthly,2018-08-31,2018-2020,0.0007387014523655852,-0.007416462907827987,0.0019008139621766009,0.004647907896633856,2542,,,True
legal_deadline_plus_one_month_end,monthly,2018-09-28,2018-2020,-0.0969263446823938,-0.008640796128270081,0.008789857939005073,0.0039449642349816605,2542,,,True
legal_deadline_plus_one_month_end,monthly,2018-10-31,2018-2020,0.06298356903307331,-0.005305031956615296,0.026616534095224072,0.002136286768926601,2652,,,True
legal_deadline_plus_one_month_end,monthly,2018-11-30,2018-2020,-0.047061311541212326,-0.0025068001640098803,-0.0008654579359163549,0.005565830848982604,2652,,,True
legal_deadline_plus_one_month_end,monthly,2018-12-28,2018-2020,-0.017512328100057765,-0.012547828972417626,-0.01682697354126662,5.3320265668851885e-05,2651,,,True
legal_deadline_plus_one_month_end,monthly,2019-01-31,2018-2020,0.22919765613158125,0.0030976618693319205,0.020979641156533328,-4.517978927065539e-06,2650,,,True
legal_deadline_plus_one_month_end,monthly,2019-02-28,2018-2020,0.10926290580743588,-0.00029594220080084686,0.011922009532921371,-0.0010824906716322233,2650,,,True
legal_deadline_plus_one_month_end,monthly,2019-03-29,2018-2020,-0.03223287969632403,-0.006094291662417197,0.0016751424112641253,0.0031018115525593454,2650,,,True
legal_deadline_plus_one_month_end,monthly,2019-04-30,2018-2020,-0.05578285285343756,-0.0020456780444840523,0.012626099317365753,-0.0007983943182030627,2766,,,True
legal_deadline_plus_one_month_end,monthly,2019-05-31,2018-2020,0.002347392919222765,-0.0029807090227551725,-0.006926631150056305,-0.0003061040335203562,2765,,,True
legal_deadline_plus_one_month_end,monthly,2019-06-28,2018-2020,-0.0233422698632483,-0.0006182373202304869,-0.009511422152548825,0.0005910715925321639,2764,,,True
legal_deadline_plus_one_month_end,monthly,2019-07-31,2018-2020,-0.017444066492212584,0.0076397102428380475,-0.004311626350001833,-0.0023317202579446468,2761,,,True
legal_deadline_plus_one_month_end,monthly,2019-08-30,2018-2020,0.007969570960017392,0.0024099021863310697,-0.000276744678487169,0.0009514657223021314,2761,,,True
legal_deadline_plus_one_month_end,monthly,2019-09-30,2018-2020,-0.002596656439547983,0.002551554388722281,-0.0019495951430626357,0.0031442676436857185,2761,,,True
legal_deadline_plus_one_month_end,monthly,2019-10-31,2018-2020,-0.018370701239409953,-0.004105007102105145,-0.002981599703079518,-0.0026489092411677534,2819,,,True
legal_deadline_plus_one_month_end,monthly,2019-11-29,2018-2020,0.07998429861151886,0.00010002063236253965,0.0030167619983888813,0.001202058718013283,2816,,,True
legal_deadline_plus_one_month_end,monthly,2019-12-31,2018-2020,-0.0025142084173789356,0.010301707865750518,-0.005470126205707797,-0.006031712271587975,2815,,,True
legal_deadline_plus_one_month_end,monthly,2020-01-23,2018-2020,-0.0008434377101228808,0.004226465270552586,-0.006461721824639239,-0.00672433623021508,2814,,,True
legal_deadline_plus_one_month_end,monthly,2020-02-28,2018-2020,-0.036452104069528424,-0.006788330400868833,0.022843448354946033,0.004857645672193822,2813,,,True
legal_deadline_plus_one_month_end,monthly,2020-03-31,2018-2020,0.01427888661735929,0.009331592619511771,-0.02467833132545062,-0.004948625268341624,2813,,,True
legal_deadline_plus_one_month_end,monthly,2020-04-30,2018-2020,0.011389822444609917,0.0075960186525768185,0.004422868419432585,-0.0008572665733957139,2858,,,True
legal_deadline_plus_one_month_end,monthly,2020-05-29,2018-2020,0.05998604583818075,0.01270326472044897,-0.012444216842359966,-0.001795455955371762,2857,,,True
legal_deadline_plus_one_month_end,monthly,2020-06-30,2018-2020,0.13894774938412352,-0.0054418291873109675,-0.004554684921628643,0.004941685419755324,2856,,,True
legal_deadline_plus_one_month_end,monthly,2020-07-31,2018-2020,0.03547414105382891,-0.004238308552424068,0.014199305522279911,0.004550779706098495,2853,,,True
legal_deadline_plus_one_month_end,monthly,2020-08-31,2018-2020,-0.06795337789527266,-0.004990485692251515,0.0033448077879482726,0.001519403304870355,2910,,,True
legal_deadline_plus_one_month_end,monthly,2020-09-30,2018-2020,-0.001514121737965646,0.0004801146727403027,0.0020514836260771253,0.0031586132562322496,2909,,,True
legal_deadline_plus_one_month_end,monthly,2020-10-30,2018-2020,0.03201997103380646,-0.0174084850823969,-0.0016143001083762307,0.00423520874934066,3131,,,True
legal_deadline_plus_one_month_end,monthly,2020-11-30,2018-2020,-0.028702844866092234,0.00813834888446787,-0.023420751886831626,-0.012745144032860228,3155,,,True
legal_deadline_plus_one_month_end,monthly,2020-12-31,2018-2020,-0.06821178129513866,0.004250037225295718,-0.03632677431562027,-0.004706688244718305,3154,,,True
legal_deadline_plus_one_month_end,monthly,2021-01-29,2021-2023,0.037681773757948636,-0.011263322920089483,0.01594604175468398,0.011252499483910074,3154,,,True
legal_deadline_plus_one_month_end,monthly,2021-02-26,2021-2023,0.02171749470430869,-0.012598970659636034,0.0214872596624225,0.0042242172304859694,3153,,,True
legal_deadline_plus_one_month_end,monthly,2021-03-31,2021-2023,0.005747321829669232,0.0007425848820708974,-0.004571632144511728,-0.010151632043567999,3149,,,True
legal_deadline_plus_one_month_end,monthly,2021-04-30,2021-2023,0.062259370136444725,0.0005277748950457527,0.010951822455538194,-0.007278163396031841,3276,,,True
legal_deadline_plus_one_month_end,monthly,2021-05-31,2021-2023,0.03206730075381336,0.005693651301908152,0.01630435015685683,-0.00456851534384033,3272,,,True
